PROGENY,FLOWERS_TO_POLLINATE_REQUIRED,PARENT1,P1L1FC,P1L1,P1L2FC,P1L2,P1L3FC,P1L3,P1L4FC,P1L4,PARENT2,P2L1FC,P2L1,P2L2FC,P2L2,P2L3FC,P2L3,P2L4FC,P2L4,RECIPROCAL_DONE,NEW_LABELS
2026-584,31,21-363.906,14B,,,,,,,,22-005.905,13A,,,,,,,,FALSE,FALSE
2026-583,24,17-434.902,03A,,,,,,,,22-005.905,13A,,,,,,,,FALSE,FALSE
2026-582,24,16-405.901,02B,,,,,,,,22-005.905,13A,,,,,,,,FALSE,FALSE
2026-581,24,16-405.901,02B,,,,,,,,22-005.906,13A,,,,,,,,FALSE,FALSE
2026-580,24,22-005.905,13A,,,,,,,,22-008.902,13A,,,,,,,,TRUE,TRUE
2026-579,24,21-365.909,07A,,,,,,,,22-019.902,15A,,,,,,,,FALSE,FALSE
2026-578,24,19-017.901,05A,,,,,,,,22-019.903,15A - 15B,,,,,,,,FALSE,FALSE
2026-577,31,21-363.906,14B,,,,,,,,22-019.904,15B,,,,,,,,FALSE,FALSE
2026-576,24,21-365.909,07A,,,,,,,,22-019.904,15B,,,,,,,,TRUE,TRUE
2026-575,24,20-019.901,08A,,,,,,,,22-019.904,15B,,,,,,,,FALSE,FALSE
2026-574,24,16-405.901,02B,,,,,,,,22-020.901,15B,,,,,,,,FALSE,FALSE
2026-573,31,19-017.901,05A,,,,,,,,22-020.901,15B,,,,,,,,FALSE,FALSE
2026-572,24,17-434.902,03A,,,,,,,,22-022.903,15B,,,,,,,,FALSE,FALSE
2026-571,24,17-399.904,04A - 03A,,,,,,,,22-022.903,15B,,,,,,,,FALSE,FALSE
2026-570,24,17-407.905,03A,,,,,,,,22-022.903,15B,,,,,,,,FALSE,FALSE
2026-569,24,18-237.003,04B,,,,,,,,22-022.903,15B,,,,,,,,FALSE,FALSE
2026-568,24,21-284.301,14B,,,,,,,,22-022.903,15B,,,,,,,,FALSE,FALSE
2026-567,12,15-228.904,01B,,,,,,,,22-022.905,15B,,,,,,,,FALSE,FALSE
2026-566,12,16-527.902,02B - 04A,,,,,,,,22-022.905,15B,,,,,,,,FALSE,FALSE
2026-565,12,17-399.901,04A,,,,,,,,22-022.905,15B,,,,,,,,FALSE,FALSE
2026-564,12,17-399.904,04A - 03A,,,,,,,,22-022.905,15B,,,,,,,,FALSE,FALSE
2026-563,12,17-407.905,03A,,,,,,,,22-022.905,15B,,,,,,,,FALSE,FALSE
2026-562,12,17-434.902,03A,,,,,,,,22-022.905,15B,,,,,,,,FALSE,FALSE
2026-561,12,17-435.901,03A,,,,,,,,22-022.905,15B,,,,,,,,FALSE,FALSE
2026-560,12,18-237.003,04B,,,,,,,,22-022.905,15B,,,,,,,,FALSE,FALSE
2026-559,12,21-284.301,14B,,,,,,,,22-022.905,15B,,,,,,,,FALSE,FALSE
2026-558,12,22-022.903,15B,,,,,,,,22-022.905,15B,,,,,,,,FALSE,FALSE
2026-557,24,21-363.906,14B,,,,,,,,22-024.903,15A,,,,,,,,FALSE,FALSE
2026-556,24,16-522.902,02B,,,,,,,,22-024.903,15A,,,,,,,,FALSE,FALSE
2026-555,24,17-434.902,03A,,,,,,,,22-024.906,13B,,,,,,,,FALSE,FALSE
2026-554,24,21-363.906,14B,,,,,,,,22-032.901,13B,,,,,,,,FALSE,FALSE
2026-553,24,21-363.906,14B,,,,,,,,22-038.901,13B,,,,,,,,FALSE,FALSE
2026-552,24,22-005.906,13A,,,,,,,,22-043.902,13A - 13B,,,,,,,,FALSE,FALSE
2026-551,24,17-434.902,03A,,,,,,,,22-043.904,19A,,,,,,,,FALSE,FALSE
2026-550,24,16-405.901,02B,,,,,,,,22-043.904,19A,,,,,,,,FALSE,FALSE
2026-549,24,22-005.905,13A,,,,,,,,22-044.901,19A,,,,,,,,TRUE,TRUE
2026-548,24,22-005.905,13A,,,,,,,,22-044.903,19A,,,,,,,,TRUE,TRUE
2026-547,24,17-434.902,03A,,,,,,,,22-045.904,19A,,,,,,,,FALSE,FALSE
2026-546,24,22-005.905,13A,,,,,,,,22-045.904,19A,,,,,,,,TRUE,TRUE
2026-545,24,17-434.902,03A,,,,,,,,22-046.901,17A,,,,,,,,FALSE,FALSE
2026-544,24,22-005.905,13A,,,,,,,,22-046.901,17A,,,,,,,,TRUE,TRUE
2026-543,31,21-361.901,07A,,,,,,,,22-046.901,17A,,,,,,,,TRUE,TRUE
2026-542,24,21-361.901,07A,,,,,,,,22-051.902,17A,,,,,,,,TRUE,TRUE
2026-541,24,22-016.903,15A,,,,,,,,22-051.902,17A,,,,,,,,FALSE,FALSE
2026-540,24,22-051.901,17A,,,,,,,,22-051.902,17A,,,,,,,,FALSE,FALSE
